data,fascia_eta,no_vax,1_dose,2_dosi_lt_cut,2_dosi_gt_cut,booster,vax,no_vax_frac,1_dose_frac,2_dosi_lt_cut_frac,2_dosi_gt_cut_frac,booster_frac,vax_frac,cut
2022-01-23,80+,187961,82553,93573,787756,3438840,4402722,0.0409,0.0180,0.0204,0.1716,0.7491,0.9591,120
2022-01-23,totale,5610741,1575333,7025036,17279465,22519370,48399204,0.1039,0.0292,0.1301,0.3199,0.4169,0.8961,120
2022-01-30,12-39,2137742,764829,3539674,6486269,4512046,15302818,0.1226,0.0439,0.2030,0.3719,0.2587,0.8774,120
2022-01-30,40-59,2205701,488950,1947749,4952256,8831931,16220886,0.1197,0.0265,0.1057,0.2688,0.4793,0.8803,120
2022-01-30,60-79,933058,253379,586169,2481619,9294502,12615669,0.0689,0.0187,0.0433,0.1832,0.6860,0.9311,120
2022-01-30,80+,190597,89653,90634,655756,3567431,4403474,0.0415,0.0195,0.0197,0.1427,0.7765,0.9585,120
2022-01-30,totale,5467098,1596811,6164226,14575900,26205910,48542847,0.1012,0.0296,0.1141,0.2699,0.4852,0.8988,120
2022-02-06,12-39,2041709,743130,3012817,5885534,5757370,15398851,0.1171,0.0426,0.1727,0.3375,0.3301,0.8829,120
2022-02-06,40-59,2134858,496835,1734224,3945031,10115639,16291729,0.1159,0.0270,0.0941,0.2141,0.5490,0.8841,120
2022-02-06,60-79,876888,280899,540625,1785573,10064742,12671839,0.0647,0.0207,0.0399,0.1318,0.7429,0.9353,120
2022-02-06,80+,176149,97617,87863,540962,3691480,4417922,0.0383,0.0212,0.0191,0.1178,0.8035,0.9617,120
2022-02-06,totale,5229604,1618481,5375529,12157100,29629231,48780341,0.0968,0.0300,0.0995,0.2251,0.5486,0.9032,120
