VaccinationDate,age_group,first_dose,second_dose,third_dose,fourth_dose
2021-01-10,60-69,5588,1208,0,0
2021-01-11,90+,203,129,0,0
2021-01-11,50-59,5097,3015,0,0
2021-01-11,70-79,1707,3652,0,0
2021-01-11,80-89,870,868,0,0
2021-01-11,30-39,3365,2162,0,0
2021-01-11,40-49,5268,2974,0,0
2021-01-11,0-19,311,52,0,0
2021-01-11,20-29,1796,821,0,0
2021-01-11,60-69,2519,5582,0,0
2021-01-12,70-79,1786,8939,0,0
2021-01-12,20-29,2444,1303,0,0
2021-01-12,40-49,4494,3953,0,0
2021-01-12,60-69,3158,11296,0,0
2021-01-12,80-89,867,2723,0,0
2021-01-12,50-59,7802,3962,0,0
2021-01-12,90+,182,353,0,0
2021-01-12,30-39,2939,3052,0,0
2021-01-12,0-19,353,75,0,0
2021-01-13,0-19,697,137,0,0
2021-01-13,50-59,23381,5053,0,0
2021-01-13,80-89,1487,4975,0,0
2021-01-13,70-79,3170,16243,0,0
2021-01-13,20-29,3832,1903,0,0
2021-01-13,40-49,8044,4831,0,0
2021-01-13,90+,240,928,0,0
2021-01-13,30-39,5168,3637,0,0
2021-01-13,60-69,6013,19138,0,0
2021-01-14,70-79,2411,20242,0,0
2021-01-14,20-29,5549,1950,0,0
2021-01-14,50-59,23381,5462,0,0
2021-01-14,0-19,1048,167,0,0
2021-01-14,40-49,10368,5161,0,0
2021-01-14,60-69,5126,23983,0,0
2021-01-14,90+,202,1188,0,0
2021-01-14,30-39,7252,3767,0,0
2021-01-14,80-89,1094,6907,0,0
2021-01-15,20-29,3206,726,0,0
2021-01-15,70-79,1208,11488,0,0
2021-01-15,90+,112,691,0,0
2021-01-15,40-49,5937,2007,0,0
2021-01-15,80-89,558,4171,0,0
2021-01-15,30-39,4758,1314,0,0
2021-01-15,50-59,11831,2698,0,0
2021-01-15,60-69,2430,12706,0,0
2021-01-15,0-19,699,118,0,0
2021-01-16,40-49,8270,1287,0,0
2021-01-16,60-69,1688,9601,0,0
2021-01-16,0-19,541,65,0,0
2021-01-16,80-89,357,3009,0,0
2021-01-16,20-29,2134,332,0,0
2021-01-16,50-59,12244,1785,0,0
2021-01-16,30-39,3380,707,0,0
2021-01-16,90+,76,578,0,0
2021-01-16,70-79,753,8640,0,0
2021-01-17,20-29,10440,2579,0,0
2021-01-17,0-19,2687,310,0,0
2021-01-17,70-79,2279,24630,0,0
2021-01-17,90+,190,1782,0,0
2021-01-17,50-59,21997,7406,0,0
2021-01-17,40-49,18417,6394,0,0
2021-01-17,60-69,4495,27165,0,0
2021-01-17,30-39,6837,4605,0,0
2021-01-17,80-89,1058,9661,0,0
2021-01-18,40-49,20631,11530,0,0
2021-01-18,90+,146,2540,0,0
2021-01-18,60-69,3969,36397,0,0
2021-01-18,70-79,1930,30798,0,0
2021-01-18,80-89,889,12571,0,0
2021-01-18,30-39,7344,8185,0,0
2021-01-18,50-59,15904,12833,0,0
2021-01-18,0-19,3840,734,0,0
2021-01-18,20-29,15081,4768,0,0
2021-01-19,90+,202,3848,0,0
2021-01-19,80-89,869,15062,0,0
2021-01-19,0-19,3137,1103,0,0
2021-01-19,30-39,9152,9617,0,0
2021-01-19,20-29,14036,6699,0,0
2021-01-19,70-79,1975,32867,0,0
2021-01-19,60-69,3928,39373,0,0
2021-01-19,40-49,25359,13698,0,0
2021-01-19,50-59,14174,15480,0,0
2021-01-20,50-59,12909,18701,0,0
2021-01-20,70-79,1845,32208,0,0
2021-01-20,60-69,3668,40116,0,0
2021-01-20,30-39,12707,10803,0,0
2021-01-20,90+,144,3383,0,0
2021-01-20,80-89,820,14386,0,0
2021-01-20,40-49,29717,14854,0,0
2021-01-20,20-29,12071,7893,0,0
2021-01-20,0-19,2939,1334,0,0
2021-01-21,80-89,999,15741,0,0
2021-01-21,70-79,2081,32950,0,0
2021-01-21,30-39,13706,13561,0,0
2021-01-21,0-19,2280,1737,0,0
2021-01-21,20-29,9633,9676,0,0
2021-01-21,50-59,11089,25774,0,0
2021-01-21,40-49,26058,18932,0,0
2021-01-21,90+,213,4017,0,0
2021-01-21,60-69,3866,41956,0,0
2021-01-22,70-79,948,13720,0,0
2021-01-22,50-59,5605,12981,0,0
2021-01-22,90+,115,1505,0,0
2021-01-22,20-29,3889,3069,0,0
2021-01-22,80-89,511,6330,0,0
2021-01-22,40-49,15365,8674,0,0
2021-01-22,0-19,1222,722,0,0
2021-01-22,30-39,8133,5556,0,0
2021-01-22,60-69,2086,18530,0,0
2021-01-23,50-59,5963,11321,0,0
2021-01-23,0-19,6653,482,0,0
2021-01-23,40-49,14575,7529,0,0
2021-01-23,20-29,3490,2160,0,0
2021-01-23,90+,106,1493,0,0
2021-01-23,60-69,1584,12438,0,0
2021-01-23,80-89,386,4945,0,0
2021-01-23,30-39,6366,3784,0,0
2021-01-23,70-79,812,9406,0,0
2021-01-24,30-39,10569,11729,0,0
2021-01-24,80-89,1005,12564,0,0
2021-01-24,50-59,8498,27034,0,0
2021-01-24,70-79,1967,24556,0,0
2021-01-24,60-69,3640,33288,0,0
2021-01-24,0-19,12159,1765,0,0
2021-01-24,40-49,19971,18028,0,0
2021-01-24,20-29,11043,8685,0,0
2021-01-24,90+,221,2992,0,0
2021-01-25,80-89,1009,11807,0,0
2021-01-25,70-79,2084,22801,0,0
2021-01-25,20-29,15510,9266,0,0
2021-01-25,90+,251,2575,0,0
2021-01-25,40-49,20491,20128,0,0
2021-01-25,50-59,9573,28243,0,0
2021-01-25,60-69,3880,30383,0,0
2021-01-25,0-19,14699,1864,0,0
2021-01-25,30-39,13376,12385,0,0
2021-01-26,80-89,936,10412,0,0
2021-01-26,90+,237,2238,0,0
2021-01-26,60-69,3502,28387,0,0
2021-01-26,70-79,1965,20409,0,0
2021-01-26,50-59,8400,25247,0,0
2021-01-26,40-49,19435,18288,0,0
2021-01-26,0-19,14432,1765,0,0
2021-01-26,20-29,15563,8340,0,0
2021-01-26,30-39,14189,11286,0,0
2021-01-27,30-39,13657,11198,0,0
2021-01-27,70-79,1754,19468,0,0
2021-01-27,0-19,15740,2088,0,0
2021-01-27,80-89,854,10046,0,0
2021-01-27,20-29,14360,10245,0,0
2021-01-27,40-49,19652,17583,0,0
2021-01-27,50-59,8431,23776,0,0
2021-01-27,90+,229,2276,0,0
2021-01-27,60-69,3233,28313,0,0
2021-01-28,70-79,1524,18154,0,0
2021-01-28,60-69,2996,27701,0,0
2021-01-28,80-89,680,8933,0,0
2021-01-28,0-19,13375,2125,0,0
2021-01-28,50-59,7577,27729,0,0
2021-01-28,90+,174,1925,0,0
2021-01-28,30-39,20223,13091,0,0
2021-01-28,20-29,15986,9903,0,0
2021-01-28,40-49,16975,21000,0,0
2021-01-29,0-19,5630,1585,0,0
2021-01-29,20-29,5990,4949,0,0
2021-01-29,30-39,10691,7809,0,0
2021-01-29,70-79,541,6927,0,0
2021-01-29,40-49,8753,14194,0,0
2021-01-29,60-69,1250,11250,0,0
2021-01-29,50-59,3484,14257,0,0
2021-01-29,90+,42,626,0,0
2021-01-29,80-89,265,3161,0,0
2021-01-30,80-89,176,1809,0,0
2021-01-30,50-59,3145,9676,0,0
2021-01-30,0-19,4982,906,0,0
2021-01-30,30-39,10590,5816,0,0
2021-01-30,20-29,5174,3130,0,0
2021-01-30,40-49,8818,10626,0,0
2021-01-30,90+,30,391,0,0
2021-01-30,70-79,459,3815,0,0
2021-01-30,60-69,994,6571,0,0
2021-01-31,50-59,7234,11938,0,0
2021-01-31,70-79,1561,6970,0,0
2021-01-31,60-69,2961,10830,0,0
2021-01-31,30-39,21667,7544,0,0
2021-01-31,90+,168,741,0,0
2021-01-31,40-49,16134,12509,0,0
2021-01-31,20-29,13344,4358,0,0
2021-01-31,0-19,9549,1048,0,0
2021-01-31,80-89,680,3534,0,0
2021-02-01,30-39,24224,5041,0,0
2021-02-01,40-49,14864,8334,0,0
2021-02-01,50-59,7596,7764,0,0
2021-02-01,0-19,10357,579,0,0
2021-02-01,60-69,3066,5105,0,0
2021-02-01,80-89,846,1667,0,0
2021-02-01,70-79,1735,3402,0,0
2021-02-01,90+,229,378,0,0
2021-02-01,20-29,19541,3044,0,0
2021-02-02,60-69,2908,4618,0,0
2021-02-02,90+,244,292,0,0
2021-02-02,40-49,13333,6360,0,0
2021-02-02,80-89,895,1401,0,0
2021-02-02,50-59,6567,8858,0,0
2021-02-02,0-19,8630,439,0,0
2021-02-02,70-79,1694,2660,0,0
2021-02-02,30-39,19992,3952,0,0
2021-02-02,20-29,15775,2457,0,0
2021-02-03,80-89,868,1634,0,0
2021-02-03,40-49,10654,8122,0,0
2021-02-03,30-39,17099,5204,0,0
2021-02-03,0-19,6698,655,0,0
2021-02-03,70-79,1575,3480,0,0
2021-02-03,50-59,5775,21547,0,0
2021-02-03,20-29,14722,3941,0,0
2021-02-03,60-69,2624,6503,0,0
2021-02-03,90+,238,308,0,0
2021-02-04,20-29,22678,6224,0,0
2021-02-04,50-59,5267,22734,0,0
2021-02-04,60-69,2312,5590,0,0
2021-02-04,0-19,6557,1436,0,0
2021-02-04,30-39,23241,7388,0,0
2021-02-04,70-79,1206,2782,0,0
2021-02-04,90+,142,239,0,0
2021-02-04,40-49,10523,10371,0,0
2021-02-04,80-89,647,1281,0,0
2021-02-05,50-59,2712,11439,0,0
2021-02-05,20-29,9941,2565,0,0
2021-02-05,60-69,1083,2586,0,0
2021-02-05,90+,77,113,0,0
2021-02-05,40-49,5217,5524,0,0
2021-02-05,70-79,549,1262,0,0
2021-02-05,30-39,11315,4176,0,0
2021-02-05,80-89,246,581,0,0
2021-02-05,0-19,2754,524,0,0
2021-02-06,70-79,268,637,0,0
2021-02-06,50-59,1631,10046,0,0
2021-02-06,30-39,6940,2383,0,0
2021-02-06,60-69,564,1434,0,0
2021-02-06,90+,35,56,0,0
2021-02-06,80-89,143,265,0,0
2021-02-06,0-19,1943,341,0,0
2021-02-06,20-29,6982,1548,0,0
2021-02-06,40-49,3085,5499,0,0
2021-02-07,20-29,16792,9283,0,0
2021-02-07,30-39,16511,7408,0,0
2021-02-07,40-49,7781,18396,0,0
2021-02-07,70-79,1122,2456,0,0
2021-02-07,90+,166,226,0,0
2021-02-07,0-19,4646,1828,0,0
2021-02-07,80-89,562,1178,0,0
2021-02-07,60-69,2101,4743,0,0
2021-02-07,50-59,4374,23177,0,0
2021-02-08,80-89,571,928,0,0
2021-02-08,0-19,4304,2590,0,0
2021-02-08,40-49,7842,19993,0,0
2021-02-08,70-79,1126,2030,0,0
2021-02-08,20-29,19947,12200,0,0
2021-02-08,60-69,2113,4052,0,0
2021-02-08,90+,136,163,0,0
2021-02-08,30-39,18066,6972,0,0
2021-02-08,50-59,4492,16492,0,0
2021-02-09,80-89,631,855,0,0
2021-02-09,30-39,19113,8356,0,0
2021-02-09,60-69,2576,3837,0,0
2021-02-09,70-79,1262,1969,0,0
2021-02-09,40-49,9121,23302,0,0
2021-02-09,0-19,5161,2704,0,0
2021-02-09,50-59,5428,14203,0,0
2021-02-09,20-29,22797,12102,0,0
2021-02-09,90+,205,189,0,0
2021-02-10,50-59,5762,13164,0,0
2021-02-10,90+,152,136,0,0
2021-02-10,40-49,9849,27836,0,0
2021-02-10,70-79,1310,1862,0,0
2021-02-10,30-39,20633,11530,0,0
2021-02-10,20-29,24096,10823,0,0
